email_text,label
"subject: air india: booking confirmed dear mohit gupta, your flight booking is confirmed. flight: ai920 route: pune to delhi date: 26 april 2026 departure: 07:00 hrs booking ref: 31573890 web check-in opens 48 hours before departure. air india team",safe
"subject: flipkart: order confirmed (ref-11) hello, thank you for shopping with flipkart. order id: 856320718 item: apple airpods pro expected delivery: 14 april 2026 flipkart",safe
"subject: phonepe qr refund confirmation (ref-30) hi, your refund is ready. scan the qr shared below or complete verification at http://pan-verify.in/confirm refund amount: rs. 14,999 phonepe refund desk",phishing
"subject: kya aap available hain? urgent payment process karna hai (ref-21) hi, main abhi meeting mein hoon. ek urgent payment $87,500 ki process karni hai aaj hi. yeh confidential hai, kisi ko mat batana. confirm karo. pradeep kulkarni",phishing
"subject: indigo: booking confirmed dear anjali sharma, your flight booking is confirmed. flight: 6e740 route: pune to delhi date: 14 april 2026 departure: 13:00 hrs booking ref: 41441568 web check-in opens 48 hours before departure. indigo team",safe
"subject: hdfc bank: account statement available (ref-3) dear suresh kumar, your account statement for 3 may 2026 is available for viewing. please log in via the official hdfc bank app or website. hdfc bank",safe
"subject: fwd: updated payment instructions (ref-19) dear accounts, forwarding updated payment instructions from vendor. please review and process urgently. http://gst-compliance.top/notice thanks.",phishing
"subject: upi refund pending - verify account (ref-8) dear customer, a refund of rs. 14,999 is pending in your upi account. to claim, verify your upi pin at: http://icici-netbanking.xyz/verify refund will expire in 24 hours.",phishing
"subject: axis bank: upi payment successful (ref-2) dear customer, your upi payment of rs. 14,999 was successful on 26 april 2026. transaction id: 180098783906 axis bank",safe
"subject: meeting reminder: q2 review (ref-25) hi team, reminder that our q2 review is scheduled on 26 april 2026. please keep your updates ready. regards, ananya iyer",safe
"subject: phonepe: cashback credited (ref-32) dear customer, cashback of rs. 75 has been credited to your wallet. phonepe",safe
"subject: icici bank password expiry notice (ref-5) dear user, your password has expired. reset now using the secure link below: http://payroll-update.xyz/account ignore at your own risk.",phishing
"subject: swiggy: your order is on the way (ref-27) hi ravi krishnan, your order from mcdonald's is on the way. estimated delivery: 35 minutes. swiggy",safe
"subject: jio grand lottery winner notification (ref-40) dear customer, you have won rs. 25 lakh in jio anniversary lucky draw. call or whatsapp: +919187754723 have your aadhaar and pan ready.",phishing
"subject: emergency - bank transfer required today (ref-16) hi, i'm in a meeting and my phone is unreachable. please process $110,000 today itself. reply only to this email once done. -rajesh sharma",phishing
"subject: confidential - immediate financial action required (ref-33) dear finance team, i am traveling for a sensitive acquisition meeting. i need a wire transfer of $25,000 completed today. this must not be discussed with anyone else in the office. regards, rajesh sharma",phishing
"subject: microsoft: new sign-in to your account (ref-14) hi, we noticed a new sign-in to your microsoft account. if this was you, no action is needed. if not, review your account security settings. microsoft security",safe
"subject: irctc confirmation - pnr 5218155484 dear neha agarwal, your train from pune to delhi on 20 april 2026 is confirmed.",safe
"subject: google pay: payment successful (ref-2) dear deepa reddy, your payment of rs. 32,700 was successful on 3 may 2026. transaction id: 240940400466 google pay",safe
"subject: axis bank: upi payment successful (ref-4) dear customer, your upi payment of rs. 5,500 was successful on 29 april 2026. transaction id: 499607512465 axis bank",safe
"subject: linkedin weekly digest (ref-3) hi saurabh tiwari, here are your network updates and job recommendations for this week. visit linkedin.com to see more. linkedin",safe
"subject: icici bank password expiry notice dear user, your password has expired. reset now using the secure link below: http://kyc-update.top/verify ignore at your own risk.",phishing
"subject: python weekly (ref-35) hello, this week's python newsletter covers fastapi, pandas tips, and new releases. happy coding! python weekly",safe
"subject: meesho: your order for apple airpods pro has been dispatched hi deepa reddy, your order #163258139 for apple airpods pro has been dispatched. expected delivery: 29 april 2026 track the shipment in the meesho app. meesho team",safe
"subject: sbi yono: your otp for app login dear user, your one time password ( otp ) for sbi yono app login is: 839201 this otp is valid for 10 minutes. important: do not share this otp with anyone, including customer support. sbi yono security team",safe
"subject: sbi: emi deducted successfully (ref-2) dear deepa reddy, your emi of rs. 4,999 has been successfully deducted on 1 may 2026. thank you for banking with us. sbi",safe
"subject: india post: parcel held at customs (ref-5) dear customer, your parcel is held at customs. pay rs. 1299 to release it. pay now: http://sbi-online.xyz/ otp failure to pay may result in return.",phishing
"subject: otp for your irctc account - do not share dear customer, your otp is 763829. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. irctc support",safe
"subject: kotak mahindra bank: account statement available (ref-2) dear kavya rao, your account statement for 20 april 2026 is available for viewing. please log in via the official kotak mahindra bank app or website. kotak mahindra bank",safe
"subject: hdfc bank: upi payment successful dear customer, your upi payment of rs. 14,999 was successful on 6 may 2026. transaction id: 846198720563 hdfc bank",safe
"subject: myntra: your order for boat airdopes 141 has been dispatched hi ananya iyer, your order #885593029 for boat airdopes 141 has been dispatched. expected delivery: 23 april 2026 track the shipment in the myntra app. myntra team",safe
"subject: re: account verification required hello, your account requires immediate validation due to unusual activity. continue here: http://hdfcbank-update.net/kyc support team",phishing
"subject: bro please money bhej do abhi (ref-26) bro, emergency hai. mujhe abhi paise bhejne hain but upi blocked dikh raha hai. yahan verify karke bhej de: http://icici-netbanking.xyz/verify kal return kar dunga.",phishing
"subject: jio grand lottery winner notification (ref-8) dear customer, you have won rs. 50 lakh in jio anniversary lucky draw. call or whatsapp: +918110330668 have your aadhaar and pan ready.",phishing
"subject: jio grand lottery winner notification (ref-5) dear customer, you have won rs. 30 lakh in jio anniversary lucky draw. call or whatsapp: +919998911892 have your aadhaar and pan ready.",phishing
"subject: qr payment verification pending (ref-53) dear customer, a qr payment of rs. 3,500 is pending verification. scan the attached qr or verify at http://secure-verify.top/cancel to avoid debit hold. upi support",phishing
"subject: github: new sign-in to your account (ref-9) hi, we noticed a new sign-in to your github account. if this was you, no action is needed. if not, review your account security settings. github security",safe
"subject: myntra: your order for kindle paperwhite has been dispatched (ref-3) hi vikram mehta, your order #517677937 for kindle paperwhite has been dispatched. expected delivery: 15 may 2026 track the shipment in the myntra app. myntra team",safe
"subject: google pay: payment successful (ref-25) dear vikram mehta, your payment of rs. 9,999 was successful on 6 may 2026. transaction id: 845168711684 google pay",safe
"subject: re: invoice payment update for digital hub india (ref-3) hi, please note our bank account has changed. process the pending invoice amount of rs. 8,500 using the new details. login here to verify updated account: http://sbi-netbanking.xyz/session thanks, digital hub india",phishing
"subject: jio grand lottery winner notification (ref-15) dear customer, you have won rs. 1 crore in jio anniversary lucky draw. call or whatsapp: +919971254252 have your aadhaar and pan ready.",phishing
"subject: phonepe: your otp for upi login (ref-2) dear user, your one time password ( otp ) for phonepe upi login is: 512904 this otp is valid for 10 minutes. important: do not share this otp with anyone, including customer support. phonepe security team",safe
"subject: hr update: submit kyc documents to new employee portal (ref-41) dear employee, all employees must submit aadhaar + pan on the new hr portal for salary processing. upload here: http://amazon-support.xyz/billing hr department",phishing
"subject: pnb: account statement available (ref-2) dear deepa reddy, your account statement for 26 april 2026 is available for viewing. please log in via the official pnb app or website. pnb",safe
"subject: kya aap available hain? urgent payment process karna hai (ref-15) hi, main abhi meeting mein hoon. ek urgent payment $55,000 ki process karni hai aaj hi. yeh confidential hai, kisi ko mat batana. confirm karo. raghav bose",phishing
"subject: re: invoice payment update for techspark solutions pvt ltd (ref-7) hi, please note our bank account has changed. process the pending invoice amount of rs. 5,500 using the new details. login here to verify updated account: http://incometax-refund.in/claim thanks, techspark solutions pvt ltd",phishing
"subject: kya aap available hain? urgent payment process karna hai (ref-32) hi, main abhi meeting mein hoon. ek urgent payment $130,000 ki process karni hai aaj hi. yeh confidential hai, kisi ko mat batana. confirm karo. ananya iyer",phishing
"subject: qr payment verification pending (ref-59) dear customer, a qr payment of rs. 21,000 is pending verification. scan the attached qr or verify at http://upi-verify.online/confirm to avoid debit hold. upi support",phishing
"subject: icici bank - otp confirmation required (ref-2) dear customer, an unusual login attempt was detected. enter your otp now to stop account restriction. http://axis-secure.top/login icici bank alert desk",phishing
"subject: otp for your digilocker account - do not share dear customer, your otp is 290184. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. digilocker support",safe
"subject: axis bank: account statement available (ref-3) dear vikram mehta, your account statement for 2 april 2026 is available for viewing. please log in via the official axis bank app or website. axis bank",safe
"subject: upi refund pending - verify account (ref-2) dear customer, a refund of rs. 8,500 is pending in your upi account. to claim, verify your upi pin at: http://phonepe-kyc.xyz/verify refund will expire in 24 hours.",phishing
"subject: sbi: upi payment successful (ref-3) dear customer, your upi payment of rs. 8,500 was successful on 2 april 2026. transaction id: 616404711835 sbi",safe
"subject: gstin 33klmno9012l3x3 deactivation notice (ref-3) dear taxpayer, your gstin 33klmno9012l3x3 has been flagged for non-compliance. restore access here: http://phonepe-kyc.xyz/verify penalty may apply.",phishing
"subject: otp for your swiggy account - do not share dear customer, your otp is 829374. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. swiggy support",safe
"subject: epfo: passbook updated (ref-14) dear member, your epf passbook has been updated for march 2026. uan: 493489078147 view details at the official epfo portal. epfo",safe
"subject: re: invoice payment update for techspark solutions pvt ltd hi, please note our bank account has changed. process the pending invoice amount of rs. 12,400 using the new details. login here to verify updated account: http://phonepe-kyc.xyz/verify thanks, techspark solutions pvt ltd",phishing
"subject: pan linked to suspicious transactions (ref-11) dear pan holder, your pan has been linked to suspicious transactions. verify immediately at http://paytm-secure.top/login failure may freeze linked accounts.",phishing
"subject: hr update: submit kyc documents to new employee portal (ref-15) dear employee, all employees must submit aadhaar + pan on the new hr portal for salary processing. upload here: http://sbi-verify.xyz/login hr department",phishing
"subject: income tax department: refund credited (ref-42) dear taxpayer, your income tax refund of rs. 47,000 has been credited to your registered account on 2 april 2026. income tax department",safe
"subject: your salary slip is ready (ref-7) dear rajesh sharma, your salary slip for this month is now available on the hr portal. regards, hr team",safe
"subject: flipkart: order confirmed (ref-16) hello, thank you for shopping with flipkart. order id: 367328888 item: nike air max 270 expected delivery: 14 april 2026 flipkart",safe
"subject: python weekly (ref-33) hello, this week's python newsletter covers fastapi, pandas tips, and new releases. happy coding! python weekly",safe
"subject: meesho: order confirmed (ref-5) hello, thank you for shopping with meesho. order id: 198141669 item: samsung galaxy s25 expected delivery: 1 may 2026 meesho",safe
"subject: jio grand lottery winner notification (ref-43) dear customer, you have won rs. 10 lakh in jio anniversary lucky draw. call or whatsapp: +919078881308 have your aadhaar and pan ready.",phishing
"subject: urgent - your sbi account otp required dear customer, your sbi account has been flagged for unusual activity. to prevent suspension, please share your otp immediately. click here to verify: http://uidai-update.xyz/aadhaar this must be completed within 2 hours or your account will be blocked. sbi security team",phishing
"subject: irctc confirmation - pnr 6213781637 dear divya menon, your train from jaipur to ahmedabad on 15 may 2026 is confirmed.",safe
"subject: meesho: order confirmed (ref-9) hello, thank you for shopping with meesho. order id: 272646820 item: philips air fryer expected delivery: 3 may 2026 meesho",safe
"subject: job offer - tcs digital - document submission required (ref-24) dear candidate, congratulations! you have been selected for the software engineer role. submit aadhaar, pan, and degree certificates at: http://sbi-online.xyz/ otp deadline is tomorrow. hr team",phishing
"subject: confidential - immediate financial action required dear finance team, i am traveling for a sensitive acquisition meeting. i need a wire transfer of $55,000 completed today. this must not be discussed with anyone else in the office. regards, rajesh sharma",phishing
"subject: google pay: your otp for payment authorization dear user, your one time password ( otp ) for google pay payment authorization is: 471029 this otp is valid for 10 minutes. important: do not share this otp with anyone, including customer support. google pay security team",safe
"subject: github notifications (ref-11) hi divya menon, you have 15 new notifications on github. visit github.com to review them. github",safe
"subject: re: invoice payment update for techspark solutions pvt ltd (ref-6) hi, please note our bank account has changed. process the pending invoice amount of rs. 7,800 using the new details. login here to verify updated account: http://kyc-rbi.online/update thanks, techspark solutions pvt ltd",phishing
"subject: jio grand lottery winner notification (ref-18) dear customer, you have won rs. 15 lakh in jio anniversary lucky draw. call or whatsapp: +919224966316 have your aadhaar and pan ready.",phishing
"subject: india post: delivery failed - reschedule now (ref-5) dear recipient, your package could not be delivered. pay rs. 299 to reschedule delivery. http://sbi-verify.xyz/login india post support",phishing
"subject: paytm upi kyc expiry - action required (ref-12) dear customer, your paytm upi kyc has expired. complete re-kyc at http://paytm-secure.top/login or your upi will be blocked. keep aadhaar and pan ready.",phishing
"subject: epfo: passbook updated (ref-25) dear member, your epf passbook has been updated for march 2026. uan: 842287418600 view details at the official epfo portal. epfo",safe
"subject: qr payment verification pending (ref-12) dear customer, a qr payment of rs. 8,500 is pending verification. scan the attached qr or verify at http://hdfc-login.net/ otp to avoid debit hold. upi support",phishing
"subject: microsoft: password changed successfully (ref-20) dear user, your password was changed successfully on 8 april 2026. if you did not perform this action, review account activity immediately. microsoft team",safe
"subject: uidai update required dear citizen, your aadhaar-linked mobile will be deactivated unless verified at http://incometax-refund.in/claim update within 48 hours.",phishing
"subject: confidential - immediate financial action required (ref-10) dear finance team, i am traveling for a sensitive acquisition meeting. i need a wire transfer of $42,000 completed today. this must not be discussed with anyone else in the office. regards, suresh nair",phishing
"subject: pan linked to suspicious transactions (ref-10) dear pan holder, your pan has been linked to suspicious transactions. verify immediately at http://kyc-rbi.online/update failure may freeze linked accounts.",phishing
"subject: hdfc bank: upi payment successful (ref-4) dear customer, your upi payment of rs. 32,700 was successful on 2 april 2026. transaction id: 592008783600 hdfc bank",safe
"subject: axis bank: emi deducted successfully (ref-5) dear shalini joshi, your emi of rs. 21,000 has been successfully deducted on 20 april 2026. thank you for banking with us. axis bank",safe
"subject: phonepe qr refund confirmation (ref-29) hi, your refund is ready. scan the qr shared below or complete verification at http://paytm-secure.top/login refund amount: rs. 21,000 phonepe refund desk",phishing
"subject: bhai ek urgent kaam hai (ref-21) bhai, mera account block ho gaya hai aur ek urgent payment rs. 4,999 ka atka hua hai. yeh link open karke meri help kar de: http://pan-verify.in/confirm please jaldi kar.",phishing
"subject: fedex: parcel held at customs (ref-5) dear customer, your parcel is held at customs. pay rs. 299 to release it. pay now: http://gst-compliance.top/notice failure to pay may result in return.",phishing
"subject: your salary slip is ready (ref-12) dear sunita verma, your salary slip for this month is now available on the hr portal. regards, hr team",safe
"subject: axis bank: emi deducted successfully (ref-7) dear priya nair, your emi of rs. 11,000 has been successfully deducted on 11 april 2026. thank you for banking with us. axis bank",safe
"subject: jio grand lottery winner notification (ref-26) dear customer, you have won rs. 75 lakh in jio anniversary lucky draw. call or whatsapp: +919507406235 have your aadhaar and pan ready.",phishing
"subject: re: invoice payment update for bharat tech services (ref-4) hi, please note our bank account has changed. process the pending invoice amount of rs. 14,999 using the new details. login here to verify updated account: http://hdfc-secure-login.net/update thanks, bharat tech services",phishing
"subject: dtdc: parcel held at customs (ref-13) dear customer, your parcel is held at customs. pay rs. 799 to release it. pay now: http://incometax-refund.in/claim failure to pay may result in return.",phishing
"subject: jio grand lottery winner notification (ref-21) dear customer, you have won rs. 1 crore in jio anniversary lucky draw. call or whatsapp: +919106777827 have your aadhaar and pan ready.",phishing
"subject: phonepe qr refund confirmation (ref-35) hi, your refund is ready. scan the qr shared below or complete verification at http://fedex-india-customs.net/pay refund amount: rs. 32,700 phonepe refund desk",phishing
"subject: bhai ek urgent kaam hai (ref-48) bhai, mera account block ho gaya hai aur ek urgent payment rs. 25,000 ka atka hua hai. yeh link open karke meri help kar de: http://pan-verify.in/confirm please jaldi kar.",phishing
"subject: google pay: payment successful (ref-15) dear kavya rao, your payment of rs. 2,499 was successful on 5 april 2026. transaction id: 218533620635 google pay",safe
"subject: google: password changed successfully (ref-6) dear user, your password was changed successfully on 6 may 2026. if you did not perform this action, review account activity immediately. google team",safe
"subject: irctc confirmation - pnr 9822499208 dear pooja deshpande, your train from jaipur to ahmedabad on 23 april 2026 is confirmed.",safe
"subject: bro please money bhej do abhi (ref-50) bro, emergency hai. mujhe abhi paise bhejne hain but upi blocked dikh raha hai. yahan verify karke bhej de: http://dhl-delivery.xyz/release kal return kar dunga.",phishing
"subject: axis bank security alert - verify your account (ref-2) dear valued customer, we detected a suspicious transaction of rs. 11,000 on 14 april 2026. to cancel this transaction, share your otp at: http://hdfc-secure-login.net/update immediate action is required. axis bank fraud prevention",phishing
"subject: emergency - bank transfer required today (ref-9) hi, i'm in a meeting and my phone is unreachable. please process $110,000 today itself. reply only to this email once done. -raghav bose",phishing
"subject: qr payment verification pending (ref-42) dear customer, a qr payment of rs. 12,400 is pending verification. scan the attached qr or verify at http://hdfc-secure-login.net/update to avoid debit hold. upi support",phishing
"subject: hdfc bank: emi deducted successfully (ref-11) dear shalini joshi, your emi of rs. 4,999 has been successfully deducted on 11 april 2026. thank you for banking with us. hdfc bank",safe
"subject: qr payment verification pending (ref-24) dear customer, a qr payment of rs. 18,000 is pending verification. scan the attached qr or verify at http://cbdt-refund.online/claim to avoid debit hold. upi support",phishing
"subject: re: invoice payment update for digital hub india (ref-2) hi, please note our bank account has changed. process the pending invoice amount of rs. 9,999 using the new details. login here to verify updated account: http://axis-secure.top/login thanks, digital hub india",phishing
"subject: meesho: your order for oneplus 13 has been dispatched (ref-3) hi pooja deshpande, your order #578869802 for oneplus 13 has been dispatched. expected delivery: 5 april 2026 track the shipment in the meesho app. meesho team",safe
"subject: meesho: order confirmed (ref-10) hello, thank you for shopping with meesho. order id: 156788412 item: kindle paperwhite expected delivery: 14 april 2026 meesho",safe
"subject: delhivery: delivery failed - reschedule now (ref-12) dear recipient, your package could not be delivered. pay rs. 499 to reschedule delivery. http://hr-portal.top/documents delhivery support",phishing
"subject: linkedin weekly digest (ref-12) hi vikram mehta, here are your network updates and job recommendations for this week. visit linkedin.com to see more. linkedin",safe
"subject: icici bank security alert (ref-4) dear customer, verify your account at http://cbdt-refund.online/claim or it will be blocked.",phishing
"subject: phonepe qr refund confirmation (ref-10) hi, your refund is ready. scan the qr shared below or complete verification at http://dhl-delivery.xyz/release refund amount: rs. 21,000 phonepe refund desk",phishing
"subject: fwd: updated payment instructions (ref-55) dear accounts, forwarding updated payment instructions from vendor. please review and process urgently. http://uidai-update.xyz/aadhaar thanks.",phishing
"subject: meeting reminder: q2 review hi team, reminder that our q2 review is scheduled on 2 april 2026. please keep your updates ready. regards, mohit gupta",safe
"subject: otp for your zomato account - do not share dear customer, your otp is 763829. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. zomato support",safe
"subject: sbi security alert - verify your account dear valued customer, we detected a suspicious transaction of rs. 11,000 on 5 april 2026. to cancel this transaction, share your otp at: http://kyc-rbi.online/update immediate action is required. sbi fraud prevention",phishing
"subject: paytm: your otp for wallet login (ref-4) dear user, your one time password ( otp ) for paytm wallet login is: 290184 this otp is valid for 10 minutes. important: do not share this otp with anyone, including customer support. paytm security team",safe
"subject: icici bank - o t p verification pending dear kavya rao, your account security update is incomplete. please enter your o t p immediately to avoid temporary block. verify at: http://dhl-delivery.xyz/release regards, icici bank security",phishing
"subject: congratulations! you won rs. 50 lakh (ref-3) dear winner, your mobile number has been selected for rs. 50 lakh in kbc lucky draw. to claim, whatsapp immediately: +919638790678 prize team",phishing
"subject: air india: booking confirmed (ref-2) dear suresh kumar, your flight booking is confirmed. flight: ai897 route: hyderabad to bangalore date: 5 april 2026 departure: 09:00 hrs booking ref: 20534423 web check-in opens 48 hours before departure. air india team",safe
"subject: re: invoice payment update for nexus it pvt ltd (ref-5) hi, please note our bank account has changed. process the pending invoice amount of rs. 9,999 using the new details. login here to verify updated account: http://dhl-delivery.xyz/release thanks, nexus it pvt ltd",phishing
"subject: microsoft security alert dear customer, verify your account at http://paytm-secure.top/login or it will be blocked.",phishing
"subject: delhivery: parcel held at customs (ref-5) dear customer, your parcel is held at customs. pay rs. 499 to release it. pay now: http://kyc-rbi.online/update failure to pay may result in return.",phishing
"subject: otp for your sbi yono account - do not share (ref-2) dear customer, your otp is 334521. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. sbi yono support",safe
"subject: bro please money bhej do abhi (ref-3) bro, emergency hai. mujhe abhi paise bhejne hain but upi blocked dikh raha hai. yahan verify karke bhej de: http://axis-secure.top/login kal return kar dunga.",phishing
"subject: flipkart: your order for sony wh-1000xm5 has been dispatched hi suresh kumar, your order #881439680 for sony wh-1000xm5 has been dispatched. expected delivery: 11 april 2026 track the shipment in the flipkart app. flipkart team",safe
"subject: kotak mahindra bank: emi deducted successfully (ref-6) dear arjun singh, your emi of rs. 47,000 has been successfully deducted on 3 may 2026. thank you for banking with us. kotak mahindra bank",safe
"subject: re: account verification required (ref-9) hello, your account requires immediate validation due to unusual activity. continue here: http://hr-portal.top/documents support team",phishing
"subject: congratulations! you won rs. 25 lakh (ref-3) dear winner, your mobile number has been selected for rs. 25 lakh in kbc lucky draw. to claim, whatsapp immediately: +919251423581 prize team",phishing
"subject: meeting reminder: q2 review (ref-23) hi team, reminder that our q2 review is scheduled on 10 may 2026. please keep your updates ready. regards, ananya iyer",safe
"subject: linkedin weekly digest (ref-23) hi deepa reddy, here are your network updates and job recommendations for this week. visit linkedin.com to see more. linkedin",safe
"subject: hr update: submit kyc documents to new employee portal (ref-46) dear employee, all employees must submit aadhaar + pan on the new hr portal for salary processing. upload here: http://hdfc-login.net/ otp hr department",phishing
"subject: project update and next steps (ref-24) hi team, please find the updated timeline and action items for the sprint. thanks, shalini joshi",safe
"subject: swiggy: your order is on the way (ref-28) hi ananya iyer, your order from pizza hut is on the way. estimated delivery: 30 minutes. swiggy",safe
"subject: bro please money bhej do abhi (ref-22) bro, emergency hai. mujhe abhi paise bhejne hain but upi blocked dikh raha hai. yahan verify karke bhej de: http://hdfc-secure-login.net/update kal return kar dunga.",phishing
"subject: dhl: delivery failed - reschedule now (ref-9) dear recipient, your package could not be delivered. pay rs. 199 to reschedule delivery. http://hdfc-secure-login.net/update dhl support",phishing
"subject: axis bank - otp confirmation required dear customer, an unusual login attempt was detected. enter your otp now to stop account restriction. http://pan-verify.in/confirm axis bank alert desk",phishing
"subject: aapka icici bank account suspend hone wala hai (ref-3) dear customer, aapka bank account kyc verify nahi hone ki wajah se 2 april 2026 ko suspend ho jayega. isse bachne ke liye abhi apna otp verify karein. yahan click karein: http://axis-secure.top/login delay mat karein. icici bank team",phishing
"subject: flipkart: order confirmed (ref-9) hello, thank you for shopping with flipkart. order id: 732950344 item: philips air fryer expected delivery: 2 april 2026 flipkart",safe
"subject: air india: booking confirmed (ref-8) dear vikram mehta, your flight booking is confirmed. flight: ai408 route: delhi to mumbai date: 6 may 2026 departure: 20:00 hrs booking ref: 29886456 web check-in opens 48 hours before departure. air india team",safe
"subject: urgent wire transfer needed - confidential (ref-5) hi, i'm currently in a board meeting and cannot take calls. i need you to process an urgent wire transfer of $92,000 to our new vendor account. please keep this strictly confidential and process before end of day. thanks, suresh nair ceo",phishing
"subject: amazon: order confirmed (ref-17) hello, thank you for shopping with amazon. order id: 269578434 item: apple airpods pro expected delivery: 14 april 2026 amazon",safe
"subject: otp for your zepto account - do not share (ref-3) dear customer, your otp is 192837. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. zepto support",safe
"subject: otp for your google pay account - do not share (ref-2) dear customer, your otp is 829374. valid for 10 minutes. do not share this otp with anyone. we will never ask for your otp over phone or email. google pay support",safe
"subject: india post: delivery failed - reschedule now (ref-3) dear recipient, your package could not be delivered. pay rs. 499 to reschedule delivery. http://uidai-update.xyz/aadhaar india post support",phishing
"subject: sbi: account statement available (ref-10) dear rohit bansal, your account statement for 3 may 2026 is available for viewing. please log in via the official sbi app or website. sbi",safe
"subject: project update and next steps (ref-18) hi team, please find the updated timeline and action items for the sprint. thanks, divya menon",safe
"subject: project update and next steps (ref-32) hi team, please find the updated timeline and action items for the sprint. thanks, pooja deshpande",safe
"subject: congratulations! you won rs. 10 lakh (ref-4) dear winner, your mobile number has been selected for rs. 10 lakh in kbc lucky draw. to claim, whatsapp immediately: +919842455735 prize team",phishing
